Price,Bedrooms,Bathrooms,Size
R2250000,2,2,96m²
R1800000,2,1,53m²
R1139000,0.5,1,52m²
R6395000,3,3,446m²
R1795000,1,1,98m²
R1139000,0.5,1,52m²
R2850000,3,2,274m²
R3500000,2,1,N/A
R23500000,3,3,405m²
R2950000,3,2,126m²
R2750000,1,1,N/A
R1950000,2,1.5,124m²
R3250000,3,1.5,121m²
N/A,N/A,N/A,N/A
R1975000,3,1.5,175m²
R8500000,4,2,1508m²
R3200000,1,1,62m²
R5200000,4,4,1089m²
R1950000,3,1,494m²
R29995000,3,3,266m²
R1200000,N/A,1,43m²
R47500000,3,3.5,465m²
R1395000,1,1,54m²
R10500000,N/A,N/A,1243m²
R1350000,2,1,63m²
R5950000,2,2,79m²
R9950000,3,3,267m²
R1950000,3,1,494m²
R2200000,2,1,79m²
R3495000,3,2,310m²
R32000000,4,3,1025m²
R2599000,2,2,77m²
R1640000,1,1,69m²
R1195000,2,2,83m²
R3000000,1,1.5,95m²
N/A,N/A,N/A,N/A
R6150000,4,3,1202m²
R510000,1,1,43m²
R750000,1,1,50m²
R2195000,3,2.5,111m²
R13500000,N/A,N/A,2450m²
R6500000,2,2,84m²
POA,2,1,150m²
R2300000,3,2,426m²
R11809370,N/A,N/A,1110m²
R2300000,N/A,1,45m²
R26000000,9,8,4262m²
R1429000,2,1,57m²
R3500000,2,2,76m²
R510000,1,1,43m²
R650000,N/A,N/A,500m²
R600000,N/A,N/A,1000m²
R445000,N/A,1,30m²
R3750000,2,2,92m²
R1650000,1,1,56m²
R6950000,N/A,N/A,660m²
R1690000,3,2,251m²
N/A,N/A,N/A,N/A
R26000000,3,3.5,183m²
R28013500,N/A,N/A,704m²
R895000,2,1,76m²
R1795000,3,2,228m²
R6300000,2,2.5,204m²
R2395000,1,1.5,83m²
R2495000,1,1,51m²
R3450000,3,2,431m²
R2050000,1,1,42m²
R1950000,3,1,496m²
R2050000,1,1,42m²
R1720000,1,1,29m²
R138000000,5,5.5,901m²
R1350000,2,2,47m²
R5950000,3,3,411m²
R1725000,2,1,100m²
R950000,1,1,43m²
R1745000,1,1,51m²
R21000000,2,2,130m²
R3200000,N/A,N/A,277m²
R25990000,3,3.5,384m²
N/A,N/A,N/A,N/A
R14500000,2,2,152m²
R4200000,3,2.5,374m²
R1235000,1,1,57m²
R899000,2,1,60m²
R1500000,3,1,260m²
R2950000,4,4,270m²
R720000,2,1,45m²
R480000,1,1,39m²
R8695000,3,4,212m²
R1235000,1,1,57m²
R3250000,3,2,263m²
R2195000,2,1,87m²
R12500000,2,2.5,132m²
R1395000,1,1,43m²
R2195000,3,2,104m²
R1800000,N/A,N/A,263m²
R1050000,2,1.5,148m²
R21000000,N/A,N/A,1203m²
R5744250,N/A,N/A,130m²
R999000,1,1,42m²
R1731000,2,1,41m²
N/A,N/A,N/A,N/A
R1850000,1,1,56m²
R5950000,5,4,328m²
POA,10,10,833m²
R2200000,1,1,52m²
R16990000,3,3.5,234m²
R15990000,3,3.5,253m²
R7500000,N/A,N/A,840m²
R2635000,0.5,1,N/A
R1925000,0.5,1,30m²
R6995000,3,2,1251m²
R6995000,3,2,1251m²
R3500000,N/A,N/A,200m²
R1795000,3,3,N/A
R1950000,2,1,85m²
R14495000,8,8,498m²
R1499000,3,2,522m²
R3585000,4,3.5,646m²
R3300000,6,3,555m²
R7495000,3,2.5,495m²
R950000,2,2,74m²
R1595000,2,1,59m²
N/A,N/A,N/A,N/A
R5900000,3,2.5,932m²
R3500000,2,2,81m²
R2045000,1,1,37m²
POA,N/A,N/A,1290m²
R2195000,2,1,68m²
R2150000,N/A,N/A,120m²
R6375000,2,2,150m²
R7500000,N/A,N/A,754m²
R1850000,1,1,35m²
R1625000,0.5,1,48m²
R1295000,1,1,64m²
R14995000,3,2.5,222m²
R4500000,N/A,N/A,558m²
R2795000,3,1.5,714m²
R2695000,1,1,53m²
R3500000,2,2,81m²
R1399000,2,1,132m²
R7000000,N/A,N/A,530m²
R2895000,1,1,80m²
R1999999,2,1,60m²
R1395000,3,2,83m²
N/A,N/A,N/A,N/A
R1950000,2,2,59m²
R5950000,4,3,448m²
R1450000,3,2,346m²
R1685000,0.5,1,42m²
R980000,2,1,223m²
R985000,1,1,43m²
R5800000,3,2,145m²
R12000000,4,4,265m²
R3295000,3,1,136m²
R1295000,2,1.5,81m²
R950000,3,1,218m²
R1395000,0.5,1,37m²
R2850000,2,1,86m²
R10500000,N/A,N/A,1043m²
R3450000,2,1,81m²
R75000000,4,5.5,1436m²
R3795000,2,1,112m²
R2650000,1,1,56m²
R2450000,3,2,718m²
R75000000,4,5.5,1436m²
POA,4,3,367m²
N/A,N/A,N/A,N/A
R1250000,2,2,64m²
R1095000,1,1,66m²
R3000000,N/A,N/A,438m²
R945000,2,1,54m²
R1300000,1,1,6m²
R47995000,4,4.5,3000m²
R9631250,N/A,N/A,273m²
R46995000,4,4.5,2000m²
R6900000,2,2.5,113m²
R945000,2,1,54m²
R2100000,1,1,35m²
R11500000,4,3.5,992m²
R395000,N/A,1,30m²
R2850000,2,2,153m²
R1600000,0.5,1,36m²
R10500000,3,2,857m²
R7650000,3,2.5,612m²
R2150000,2,2,61m²
R800000,1,1,35m²
R2245000,3,2,161m²
R1650000,0.5,1,36m²
N/A,N/A,N/A,N/A
R1550000,1,1,55m²
R2149000,4,2,496m²
R1350000,0.5,1,37m²
R749000,4,1,167m²
R1595000,2,1,125m²
R4975000,2,3,69m²
R590000,2,1,54m²
R1750000,1,1,50m²
R1350000,1,1,68m²
R8495000,3,3,227m²
R8900000,4,3,694m²
R3495000,2,1,96m²
R1350000,0.5,1,37m²
R1400000,0.5,1,37m²
R10900000,4,3,1049m²
R3199000,3,1,87m²
R1950000,1,1,54m²
R795000,1,1,34m²
